Name of Dam,Latitude,Longitude,MDDL(m),F.R.L(m)/Pond Level(PL),Live Storage(MCM),Dead Storage(MCM),River Bed Level(m)
Dhom Dam,17.98138889,73.81722222,722.19,747.7,331.05,51.27,701.35
Dhom Balakwadi Dam(DB),17.95388889,73.70972222,768.544,814,112.13,3.4,752
Koyna Dam,17.40194444,73.75222222,611.124,657.9,2652,119.79,579.43
Khadakwasla Dam,18.4425,73.76305556,574.3,582.47,56,10,554.45
Ujjani Dam,18.07472222,75.12111111,491.03,496.83,1517,1799.139,458.17
Hipparagi Barrage,16.5525,75.16583333,517.47,524.87,138.75,31.156,510
Hidkal Dam,16.14111111,74.64,633.83,662.94,1391,60.31,614.17
Almatti Dam,16.33111111,75.88694444,506.87,519.6,3105,353.11,488.948
Malaprabha Dam,15.82111111,75.09611111,623.93,633.83,972.56,95.85,596.769
Narayanapura Dam,16.22388889,76.34472222,487.58,492.25,863,417.95,469.94
Bhadra Dam,13.70083333,75.64472222,636.4,657.75,1785,240.69,601.03
Tungabhadra Dam,15.25527778,76.33333336,477.01,497.74,3276,65.128,471
Jurala Project (P.J.P),16.33305556,77.70222222,314.858,318.516,168,145.63,297.8

